,AB_Center,AB_Improved,AB_Open,MM_Center,MM_Improved,MM_Open,Random,total wins,Fraction Won,relative strength
AB_WeightedImproved (w:2.268515),15,15,11,17,16,16,18,216,1.542857142857143,1.1368421052631579
"AB_WeightedCenter (w:1.754518,lamba:0.228263)",13,12,12,18,17,15,20,214,1.5285714285714285,1.1263157894736842
"AB_WeightedCenter (w:1.824917,lamba:0.361789)",8,14,14,17,16,18,19,212,1.5142857142857142,1.1157894736842104
"AB_WeightedCenter (w:3.980443,lamba:0.722443)",11,9,7,19,15,19,19,198,1.4142857142857144,1.0421052631578946
AB_WeightedImproved (w:3.921175),10,12,7,17,14,19,19,196,1.4,1.031578947368421
"AB_WeightedCenter (w:7.379954,lamba:0.322959)",11,12,5,20,12,16,19,190,1.3571428571428572,1.0
AB_Improved,15,9,9,17,15,11,19,190,1.3571428571428572,1.0
"AB_WeightedCenter (w:5.315514,lamba:0.293714)",10,9,10,17,13,18,18,190,1.3571428571428572,1.0
"AB_WeightedCenter (w:0.596779,lamba:0.611024)",10,10,7,18,15,15,19,188,1.3428571428571427,0.9894736842105262
"AB_WeightedCenter (w:4.385722,lamba:0.724455)",7,9,7,17,16,17,20,186,1.3285714285714285,0.9789473684210526
AB_WeightedImproved (w:5.513148),9,10,12,15,13,17,17,186,1.3285714285714285,0.9789473684210526
"AB_WeightedCenter (w:7.290497,lamba:0.849432)",7,9,8,18,15,17,19,186,1.3285714285714285,0.9789473684210526
AB_WeightedImproved (w:4.809319),8,8,6,19,14,18,19,184,1.3142857142857143,0.9684210526315788
AB_WeightedImproved (w:6.964692),7,11,12,17,12,14,17,180,1.2857142857142858,0.9473684210526316
AB_WeightedImproved (w:4.231065),13,8,7,19,11,14,18,180,1.2857142857142858,0.9473684210526316
"AB_WeightedCenter (w:5.318276,lamba:0.630976)",11,9,9,17,14,14,16,180,1.2857142857142858,0.9473684210526316
AB_WeightedImproved (w:9.807642),10,13,7,15,13,15,17,180,1.2857142857142858,0.9473684210526316
"AB_WeightedCenter (w:3.431780,lamba:0.634401)",6,9,4,19,14,19,19,180,1.2857142857142858,0.9473684210526316
AB_Exp (k:2.038002),9,10,8,16,12,16,18,178,1.2714285714285714,0.9368421052631578
AB_WeightedImproved (w:6.848297),10,11,8,17,13,14,16,178,1.2714285714285714,0.9368421052631578
AB_Exp (k:1.924032),7,11,6,16,16,14,18,176,1.2571428571428571,0.9263157894736842
AB_Exp (k:1.918639),8,8,6,18,13,15,20,176,1.2571428571428571,0.9263157894736842
AB_WeightedImproved (w:7.194690),14,5,7,17,12,13,19,174,1.2428571428571429,0.9157894736842105
AB_Exp (k:2.053490),7,6,6,18,13,16,19,170,1.2142857142857142,0.894736842105263
AB_Exp (k:2.797439),8,9,6,16,12,13,20,168,1.2,0.8842105263157894
AB_WeightedImproved (w:2.861393),10,8,7,18,9,19,11,164,1.1714285714285715,0.8631578947368421
AB_Exp (k:1.693296),7,6,9,16,11,15,17,162,1.1571428571428573,0.8526315789473684
AB_Exp (k:1.909078),7,9,6,16,10,14,17,158,1.1285714285714286,0.831578947368421
AB_Exp (k:1.274999),8,6,8,16,14,9,18,158,1.1285714285714286,0.831578947368421
AB_Exp (k:1.910067),5,8,4,16,15,12,18,156,1.1142857142857143,0.8210526315789474
AB_Exp (k:2.893904),6,5,7,13,13,14,19,154,1.1,0.8105263157894738
