,AB_Center,AB_Improved,AB_Open,MM_Center,MM_Improved,MM_Open,Random,total wins,Fraction Won,relative strength
"AB_WeightedCenter (w:8.249055,lamba:0.163261)",12,16,12,19,16,18,19,112,0.8,1.2173913043478262
AB_WeightedImproved (w:0.989725),12,13,12,19,15,17,20,108,0.7714285714285715,1.173913043478261
"AB_WeightedCenter (w:0.728707,lamba:0.078828)",12,13,8,17,15,19,19,103,0.7357142857142858,1.1195652173913044
"AB_WeightedCenter (w:6.759281,lamba:0.237363)",11,13,12,17,15,17,18,103,0.7357142857142858,1.1195652173913044
"AB_WeightedCenter (w:4.553225,lamba:0.265657)",14,10,8,20,15,16,19,102,0.7285714285714285,1.108695652173913
"AB_WeightedCenter (w:4.755058,lamba:0.737896)",14,13,6,18,16,13,20,100,0.7142857142857143,1.0869565217391304
"AB_WeightedCenter (w:5.690388,lamba:0.697674)",13,9,9,19,14,17,19,100,0.7142857142857143,1.0869565217391304
"AB_WeightedCenter (w:8.044269,lamba:0.497623)",13,13,5,20,12,17,20,100,0.7142857142857143,1.0869565217391304
"AB_WeightedCenter (w:9.382086,lamba:0.858386)",11,11,8,20,14,16,19,99,0.7071428571428572,1.0760869565217392
"AB_WeightedCenter (w:7.818866,lamba:0.146981)",11,10,9,18,14,17,20,99,0.7071428571428572,1.0760869565217392
"AB_WeightedCenter (w:4.581429,lamba:0.810918)",13,10,9,18,10,19,20,99,0.7071428571428572,1.0760869565217392
"AB_WeightedCenter (w:6.544394,lamba:0.666945)",13,12,9,17,15,13,20,99,0.7071428571428572,1.0760869565217392
AB_WeightedImproved (w:0.409827),12,9,12,18,13,18,16,98,0.7,1.0652173913043477
AB_WeightedImproved (w:4.649372),11,7,11,18,13,19,19,98,0.7,1.0652173913043477
"AB_WeightedCenter (w:2.594787,lamba:0.272493)",8,10,9,19,14,18,19,97,0.6928571428571428,1.0543478260869565
"AB_WeightedCenter (w:6.197128,lamba:0.856231)",9,12,8,17,14,17,19,96,0.6857142857142857,1.0434782608695652
AB_WeightedImproved (w:6.640970),13,9,7,16,15,17,19,96,0.6857142857142857,1.0434782608695652
"AB_WeightedCenter (w:3.542193,lamba:0.899787)",12,10,10,19,14,12,19,96,0.6857142857142857,1.0434782608695652
AB_WeightedImproved (w:6.150910),10,8,9,17,16,16,19,95,0.6785714285714286,1.032608695652174
"AB_WeightedCenter (w:1.320170,lamba:0.057724)",11,10,9,18,11,17,19,95,0.6785714285714286,1.032608695652174
AB_WeightedImproved (w:4.795262),12,8,8,18,15,16,18,95,0.6785714285714286,1.032608695652174
AB_WeightedImproved (w:6.412618),12,9,4,19,16,14,20,94,0.6714285714285714,1.0217391304347825
"AB_WeightedCenter (w:4.741079,lamba:0.949853)",12,8,6,15,16,17,20,94,0.6714285714285714,1.0217391304347825
AB_WeightedImproved (w:8.624878),11,10,9,15,12,17,20,94,0.6714285714285714,1.0217391304347825
AB_Improved,7,12,10,16,12,18,17,92,0.6571428571428571,1.0
AB_WeightedImproved (w:1.028930),9,7,10,16,15,16,19,92,0.6571428571428571,1.0
"AB_WeightedCenter (w:7.516287,lamba:0.436057)",11,14,7,17,10,15,18,92,0.6571428571428571,1.0
"AB_WeightedCenter (w:4.612254,lamba:0.838521)",11,6,12,19,15,11,18,92,0.6571428571428571,1.0
AB_WeightedImproved (w:1.427422),12,9,5,18,14,14,19,91,0.65,0.9891304347826088
AB_WeightedImproved (w:8.673086),11,6,5,19,13,18,19,91,0.65,0.9891304347826088
AB_WeightedImproved (w:8.434843),8,10,7,17,15,15,18,90,0.6428571428571429,0.9782608695652175
AB_WeightedImproved (w:1.763991),10,3,9,18,17,17,15,89,0.6357142857142857,0.967391304347826
AB_WeightedImproved (w:5.670925),8,11,9,16,13,13,19,89,0.6357142857142857,0.967391304347826
AB_WeightedImproved (w:5.724242),10,10,8,18,13,15,15,89,0.6357142857142857,0.967391304347826
"AB_WeightedCenter (w:7.390239,lamba:0.118129)",11,8,6,16,14,15,19,89,0.6357142857142857,0.967391304347826
AB_WeightedImproved (w:5.337533),8,10,8,18,11,12,19,86,0.6142857142857143,0.9347826086956522
AB_WeightedImproved (w:6.270108),12,7,5,15,13,16,17,85,0.6071428571428571,0.9239130434782608
AB_WeightedImproved (w:9.859576),5,11,6,18,12,15,18,85,0.6071428571428571,0.9239130434782608
AB_WeightedImproved (w:6.470857),9,9,9,15,9,14,19,84,0.6,0.9130434782608695
"AB_WeightedCenter (w:5.880290,lamba:0.878524)",6,12,3,18,10,16,18,83,0.5928571428571429,0.9021739130434783
AB_WeightedImproved (w:3.811107),9,11,1,19,11,14,17,82,0.5857142857142857,0.891304347826087
